x f587797729: [stage1] 3.1, f587797729: [stage1] 3.1
6390,0.9991
6400,1.0073
6410,1.0101
6420,0.9904
6430,1.008
6440,0.9931
6450,0.9953
6470,1.013
6480,0.9943
6490,0.9809
6500,0.9972
6510,0.9995
6530,1.0006
6560,0.9917
6570,0.9966
6580,0.9961
6590,0.9939
6600,0.9933
6610,1.0031
6630,1.0015
6640,1.0012
6650,0.9964
6660,0.9973
6670,0.9884
6680,0.9888
6690,1.003
6700,0.9928
6710,0.9902
6720,0.9998
6730,0.992
6740,0.9921
6750,0.9936
6770,0.9926
6790,0.994
6800,0.9867
6810,0.9934
6820,0.9955
6830,1.0068
6860,0.9945
6870,0.9828
6880,0.9943
6890,1.0062
6900,1.0024
6920,0.9953
6940,0.9966
6950,1.0022
6970,0.9979
6980,0.9976
6990,1.0047
7030,0.9932
7050,1.0071
7070,0.9906
7080,0.9993
7090,0.9919
7110,0.986
7130,0.9894
7140,0.9901
7150,0.9956
7160,0.9882
7190,1.0002
7200,1.0032
7210,0.9905
7230,1.0024
7240,0.9953
7250,0.9973
7270,0.9927
7280,0.9942
7290,1.0031
7320,0.996
7330,0.9966
7340,0.9939
7350,1.0089
7370,0.9916
7390,0.994
7400,1.0039
7410,0.9849
7460,1.0019
7480,0.9936
7490,0.9992
7500,0.9947
7510,0.9928
7520,0.9899
7530,1.0016
7550,1.0013
7560,1.0028
7570,0.9971
7580,0.9963
7590,0.9914
7610,1.004
7630,0.9945
7640,0.9913
7660,0.9875
7680,0.9793
7700,0.986
7720,0.9863
7730,0.987
7740,0.9832
7750,0.9917
7760,0.9887
7770,1.0015
7790,0.9756
7800,0.9828
7810,0.9826
7830,0.9819
7850,0.9771
7860,0.9848
7880,0.9815
7890,0.9817
7900,0.9914
7920,0.9825
7930,0.9679
7940,0.9786
7950,0.9947
7960,0.9724
7970,0.9642
7980,0.9885
8000,0.9846
8010,0.9792
8020,0.99
8030,0.989
8040,0.9736
8080,0.983
8090,0.9839
8110,0.9763
8130,0.9754
8150,0.9743
8170,0.9781
8180,0.9697
8190,0.9725
8200,0.9907
8220,0.9671
8240,0.9821
8250,0.9785
8260,0.9913
8270,0.9805
8280,0.9853
8300,0.9872
8310,0.9877
8330,0.9837
8340,0.9736
8350,0.9794
8360,0.9806
8370,0.9921
8390,0.9807
8420,0.9736
8440,0.9886
8470,0.9933
8490,0.9837
8500,0.9844
8530,0.9777
8540,0.9865
8570,0.9621
8590,0.9832
8610,0.9758
8620,1.0339
8640,0.983
8670,0.9804
8680,0.9892
8690,0.9839
8700,0.9845
8710,0.9874
8720,0.9902
8730,0.983
8740,0.9886
8750,0.9795
8770,0.9841
8780,0.9639
8790,0.9757
8810,0.9853
8810,0.9798
8820,0.9852
8830,0.9697
8840,0.9852
8850,0.9694
8860,0.98
8860,0.9772
8870,0.9892
8870,0.969
8880,0.9867
8890,0.9758
8900,0.9854
8920,0.9667
8930,0.976
8940,0.9732
8950,0.9813
8980,0.9801
8990,0.9637
9000,0.9708
9010,0.9685
9010,0.9799
9020,0.9827
9020,0.976
9030,0.9894
9040,0.9894
9050,0.9786
9060,0.9782
9060,0.9692
9070,0.9717
9070,0.9792
9080,0.9676
9100,0.9658
9100,0.9752
9110,0.9759
9110,0.9699
9120,0.9712
9150,0.9814
9150,0.9745
9160,0.9753
9170,0.9754
9200,0.9769
9210,0.9626
9220,0.9634
9230,0.9676
9240,0.9821
9260,0.9732
9270,0.971
9290,0.9797
9300,0.9599
9320,0.9772
9330,0.9685
9340,0.9671
9350,0.9742
9360,0.9712
9370,0.9618
9380,0.9623
9390,0.9736
9400,0.9699
9410,0.9691
9430,0.9618
9440,0.9716
9460,0.9605
9470,0.9723
9480,0.9635
9490,0.9616
9500,0.9741
9510,0.9627
9530,0.9775
9540,0.9613
9550,0.9729
9560,0.9741
9580,0.9662
9590,0.9557
9600,0.9567
9610,0.9628
9620,0.9616
9630,0.9622
9640,0.9669
9650,0.9613
9680,0.9635
9710,0.9625
9720,0.9532
9730,0.9647
9740,0.9662
9750,0.9681
9760,0.9587
9780,0.9666
9790,0.9665
9820,0.9619
9840,0.9697
9850,0.9729
9860,0.9707
9880,0.964
9890,0.9691
9900,0.9632
9910,0.9623
9920,0.9609
9930,0.9737
9970,0.962
9990,0.964
10010,0.964
10020,0.9634
10030,0.9529
10050,0.9603
10060,0.9671
10070,0.9624
10080,0.968
10090,0.9825
10100,0.9741
10110,0.9774
10130,0.9703
10150,0.9645
10160,0.9754
10180,0.9639
10190,0.9701
10210,0.9586
10220,0.9679
10240,0.9602
10250,0.9578
10260,0.953
10270,0.9554
10280,0.9577
10300,0.9674
10310,0.972
10320,0.9644
10330,0.957
10350,0.952
10370,0.9698
10380,0.9593
10400,0.9587
10430,0.9646
10440,0.954
10460,0.9732
10470,0.9669
10490,0.9592
10510,0.9622
10530,0.9606
10540,0.9558
10560,0.9661
10580,0.9496
10590,0.9615
10600,0.9692
10610,0.9563
10620,0.9404
10630,0.9496
10660,0.9649
10670,0.9461
10680,0.9584
10690,0.9575
10700,0.9577
10710,0.9511
10720,0.9535
10750,0.9544
10760,0.9542
10780,0.9524
10790,0.9542
10800,0.9603
10810,0.97
10850,0.9541
10860,0.9511
10870,0.9571
10880,0.9563
10890,0.9555
10900,0.9465
10920,0.9481
10940,0.952
10990,0.9541
11020,0.9498
11040,0.9517
11050,0.9569
11060,0.9539
11090,0.954
11100,0.9495
11110,0.9432
11120,0.9564
11130,0.951
11140,0.9393
11150,0.9568
11170,0.9492
11180,0.9571
11190,0.9535
11200,0.953
11210,0.9517
11220,0.9438
11230,0.9452
11240,0.9514
11270,0.9523
11280,0.9452
11290,0.9478
11300,0.9454
11310,0.957
11320,0.9944
11330,0.9682
11340,0.9514
11360,0.9481
11370,0.9561
11380,0.9494
11390,0.947
11410,0.9523
11420,0.9379
11430,0.9395
11440,0.9592
11450,0.9597
11470,0.9378
11480,0.9538
11490,0.9497
11500,0.9516
